nguon,bang,cot,cong_thieu,khuyet_pct,muc_bang_chung,can_cu_tac_dung,he_qua_neu_bo_qua
bảng phẳng,panel_mt,dlv_received_qty,C2 Khuyết ≥ 95%,95.41,ĐO ĐƯỢC,8/8 thước đo xếp vào nửa trên,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
bảng phẳng,panel_mt,dlv_ordered_qty,C2 Khuyết ≥ 95%,95.41,ĐO ĐƯỢC,8/8 thước đo xếp vào nửa trên,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
bảng phẳng,panel_mt,dlv_shipped_qty,C2 Khuyết ≥ 95%,95.41,ĐO ĐƯỢC,8/8 thước đo xếp vào nửa trên,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
bảng phẳng,panel_mt,supervisor_id,C2 Khuyết ≥ 95%,96.864,CÓ ĐƯỜNG TỚI,bảng `panel_mt` nối được về hạt; entropy: chưa đo,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
bảng phẳng,panel_mt,dlv_line_count,C2 Khuyết ≥ 95%,95.41,ĐO ĐƯỢC,6/8 thước đo xếp vào nửa trên,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
bảng phẳng,panel_mt,asm_id,C2 Khuyết ≥ 95%,97.427,CÓ ĐƯỜNG TỚI,bảng `panel_mt` nối được về hạt; entropy: chưa đo,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
bảng phẳng,panel_mt,dlv_shipper_count,C2 Khuyết ≥ 95%,95.41,ĐO ĐƯỢC,6/8 thước đo xếp vào nửa trên,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
bảng phẳng,panel_mt,dlv_warehouse_confirmed_lines,C2 Khuyết ≥ 95%,95.41,ĐO ĐƯỢC,3/8 thước đo xếp vào nửa trên,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
bảng phẳng,panel_mt,mt_price_exc_vat,C2 Khuyết ≥ 95%,98.958,CÓ ĐƯỜNG TỚI,bảng `panel_mt` nối được về hạt; entropy: chưa đo,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
bảng phẳng,panel_mt,mt_price_inc_vat,C2 Khuyết ≥ 95%,98.958,CÓ ĐƯỜNG TỚI,bảng `panel_mt` nối được về hạt; entropy: chưa đo,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
file CTKM người dùng nạp,ctkm_dong,status_evidence,C2 Khuyết ≥ 95%,98.901,CÓ ĐƯỜNG TỚI,bảng `ctkm_dong` nối được về hạt; entropy: chưa đo,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
