bang,cot,cong_vuong,khuyet_pct,muc_bang_chung,can_cu_can_thiet,he_qua_neu_bo_qua
fact_delivery_details,pod_image_url,Q2 Hằng số,0.0,CÓ ĐƯỜNG TỚI,bảng `fact_delivery_details` nối được về hạt; vai trò: đặc trưng,"Phương sai bằng 0 nên thông tin tương hỗ với BẤT KỲ nhãn nào cũng bằng 0. Đây là hệ quả toán học, không phải ngưỡng vận hành."
panel_mt,dlv_received_qty,Q3 Khuyết ≥ 95%,95.41,ĐO ĐƯỢC,8/8 thước đo xếp vào nửa trên,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
panel_mt,dlv_ordered_qty,Q3 Khuyết ≥ 95%,95.41,ĐO ĐƯỢC,8/8 thước đo xếp vào nửa trên,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
panel_mt,dlv_shipped_qty,Q3 Khuyết ≥ 95%,95.41,ĐO ĐƯỢC,8/8 thước đo xếp vào nửa trên,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
fact_delivery_details,shipper_received_at,Q3 Khuyết ≥ 95%,96.664,CÓ ĐƯỜNG TỚI,bảng `fact_delivery_details` nối được về hạt; vai trò: thời gian — dẫn xuất đặc trưng,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
dim_employees,flat_sup_code,Q3 Khuyết ≥ 95%,96.119,CÓ ĐƯỜNG TỚI,bảng `dim_employees` nối được về hạt; vai trò: khoá ngoại — dùng như biến phân loại,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
dim_employees,flat_asm_code,Q3 Khuyết ≥ 95%,96.044,CÓ ĐƯỜNG TỚI,bảng `dim_employees` nối được về hạt; vai trò: khoá ngoại — dùng như biến phân loại,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
fact_delivery_details,shipper_received_date_key,Q3 Khuyết ≥ 95%,96.664,CÓ ĐƯỜNG TỚI,bảng `fact_delivery_details` nối được về hạt; vai trò: khoá ngoại — dùng như biến phân loại,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
panel_mt,dlv_line_count,Q3 Khuyết ≥ 95%,95.41,ĐO ĐƯỢC,6/8 thước đo xếp vào nửa trên,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
fact_delivery_details,note_reason,Q3 Khuyết ≥ 95%,95.601,CÓ ĐƯỜNG TỚI,bảng `fact_delivery_details` nối được về hạt; vai trò: đặc trưng,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
fact_order_lines,canceled_note,Q3 Khuyết ≥ 95%,98.144,CÓ ĐƯỜNG TỚI,bảng `fact_order_lines` nối được về hạt; vai trò: đặc trưng,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
fact_order_lines,canceled_reason_line,Q3 Khuyết ≥ 95%,97.825,CÓ ĐƯỜNG TỚI,bảng `fact_order_lines` nối được về hạt; vai trò: đặc trưng,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
fact_order_lines,is_admin_cancel,Q3 Khuyết ≥ 95%,98.339,CÓ ĐƯỜNG TỚI,bảng `fact_order_lines` nối được về hạt; vai trò: đặc trưng,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
panel_mt,dlv_shipper_count,Q3 Khuyết ≥ 95%,95.41,ĐO ĐƯỢC,6/8 thước đo xếp vào nửa trên,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
dim_locators,sub_inventory_key,Q3 Khuyết ≥ 95%,98.73,CÓ ĐƯỜNG TỚI,bảng `dim_locators` nối được về hạt; vai trò: khoá ngoại — dùng như biến phân loại,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
fact_order_fulfillment,canceled_reason_admin,Q3 Khuyết ≥ 95%,98.291,CÓ ĐƯỜNG TỚI,bảng `fact_order_fulfillment` nối được về hạt; vai trò: đặc trưng,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
panel_mt,dlv_warehouse_confirmed_lines,Q3 Khuyết ≥ 95%,95.41,ĐO ĐƯỢC,3/8 thước đo xếp vào nửa trên,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
fact_order_fulfillment,canceled_reason,Q3 Khuyết ≥ 95%,99.728,CÓ ĐƯỜNG TỚI,bảng `fact_order_fulfillment` nối được về hạt; vai trò: đặc trưng,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
fact_order_fulfillment,erp_deleted_source,Q3 Khuyết ≥ 95%,99.946,CÓ ĐƯỜNG TỚI,bảng `fact_order_fulfillment` nối được về hạt; vai trò: đặc trưng,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị."
