ma,quyet_dinh,ban_nhap_dang_lam,so_do,huong_theo_so_do,con_can,trang_thai
QD-01,Nối bảng bằng khoá phiên bản hay mã nghiệp vụ?,Nối bằng `product_key` / `store_key` — là khoá phiên bản SCD2,"16.92% dòng thừa; 21,365 bộ ba bị chia đôi nhãn",Chuyển sang `product_code` / `store_code`: khoá phiên bản làm vỡ hạt,Không cần gì thêm — sửa truy vấn rồi dựng lại panel,đủ căn cứ — chốt được
QD-02,Tháng 12/2025 có phải loại khỏi tập huấn luyện không?,Gắn cứng `flag_ky_nghi_ngo = 1` cho 202512,"202512: doanh thu ×1.199, sản lượng ×1.346, đơn giá ×0.891 → KHÔNG còn bất thường trên số đo hôm nay → cờ đang loại oan một tháng dữ liệu tốt, phải xem lại.",Số đo hôm nay không còn bất thường — bỏ cờ hoặc ghi lại lý do giữ,Xác nhận dữ liệu đã được nạp lại (OQ-04),đủ căn cứ — chốt được
QD-03,Có huấn luyện xuyên mốc 01/2026 không?,Có cột `flag_che_do_km` nhưng không chặn việc học xuyên mốc,Khối dùng được: 202504–202511 (8 tháng) · 202601–202607 (7 tháng),"Tách hai khối chế độ, không học xuyên; khối dài nhất chưa đủ một vòng năm",Quyết cách xử lý mùa vụ khi không khối nào đủ 12 tháng,đủ căn cứ — chốt được
QD-04,Mẫu số của Base là ngày còn hàng hay ngày lịch?,"`qty / ngay_co_hang`, để NULL khi thiếu mặt nạ tồn kho","daily_balances: toàn bộ 20260703→20260828, phủ 5.95% số ngày của cửa sổ (245 SKU); lot_snapshot: toàn bộ 20260609→20260828, phủ 10.47% số ngày của cửa sổ (1342 SKU). Nguồn tốt nhất chỉ phủ 10.47% số ngày của cửa sổ → mặt nạ hết hàng chỉ đo được trên phần đó, phần còn lại Base phải chấp nhận thiên lệch.",Mặt nạ phủ quá ít — phải viết cả hai nhánh và đo thiên lệch trên phần có mặt nạ,OQ-01: hệ nguồn có giữ tồn kho theo ngày trước 09/06/2026 không,còn thiếu căn cứ
QD-05,Khung panel dựng theo cửa sổ nào?,Cặp chạy từ tháng mua đầu tới tháng cuối cửa hàng còn sống — dùng thông tin tương lai,Tỷ lệ dòng có bán trôi từ 100.0% xuống 18.78% theo thời gian,"Dựng lại khung theo từng mốc backtest, chỉ dùng dữ liệu tới mốc đó",Không cần gì thêm — sửa cách dựng khung,đủ căn cứ — chốt được
QD-06,Cột nào được phép làm đặc trưng?,Truy vấn trả về cả cột chỉ biết sau khi tháng đã xảy ra,"10 cột tách hoàn hảo (gia_thuc_thu, sl_moi_lan, salesman_id, ck_pct_do_lech_chuan), 3 cột tách mạnh",Bỏ hoặc chuyển thành lag mọi cột biết-sau-kỳ; cột tách hoàn hảo phải bỏ hẳn,Không cần gì thêm — chốt danh sách cột theo bảng rò rỉ,đủ căn cứ — chốt được
QD-07,Nhãn tính theo cái hay theo thùng?,`qty_ban` theo cái; có sẵn `qty_thung` nhưng không dùng làm nhãn,"`qty_ban` mang 12 đơn vị tính khác nhau trên 347 mặt hàng — cộng gộp nó qua nhiều SKU là cộng cây kem với hộp sữa. Mọi con số cộng dọc theo SKU (Base, gộp lên rồi phân bổ, trọng số WMAPE) phải quy về thùng. Còn việc nhãn của MÔ HÌNH nên là thùng hay đơn vị lẻ thì vẫn cần backtest","Chưa đủ căn cứ — quy cách đóng thùng đang là đặc trưng mạnh, nghi nhãn theo cái bị nhiễu","Dựng nhãn theo thùng, chạy lại backtest rồi so WMAPE",còn thiếu căn cứ
QD-08,Dự báo ở mức cặp cửa hàng × mã hàng hay gộp lên rồi phân bổ?,Dự báo thẳng ở mức cặp,Tự tương quan trong cặp trễ 1 tháng = 0.1247; 83.66% cặp thuộc nhóm thưa,Lịch sử của chính cặp gần như không dự báo được — nên gộp lên rồi phân bổ xuống,Chốt cấp gộp và quy tắc phân bổ,đủ căn cứ — chốt được
QD-09,Cửa sổ dữ liệu lấy tới tháng nào?,"202504–202607, bỏ tháng cuối vì chưa đủ ngày",Đơn hàng mới tới 2026-08-28,Giữ nguyên quy tắc bỏ tháng chưa trọn; kiểm lại mỗi lần chạy,Không cần gì thêm,đủ căn cứ — chốt được
QD-10,Lấy tồn kho từ nguồn nào?,`coalesce` từ lot_snapshot sang daily_balances,daily_balances: từ 20260703 · lot_snapshot: từ 20260609,Nhánh daily_balances hiện là mã chết trong cửa sổ — không còn lịch sử cũ,Xác nhận với Đội Kho dữ liệu xem lịch sử cũ có dựng lại được không,đủ căn cứ — chốt được
